Location,Beds,Price,Area,Type
Rajiv Nagar,4,8500000,1500,House
 Yadavagiri,2,6000000,1210,House
Harohalli,2,2690000,800,House
KC Layout,4,28000000,5600,House
BEML Nagar,3,10000000,2000,House
Huyilalu,3,8900000,950,Villa
Chamrajpura,5,7500000,2000,House
Rajarajeshwari Nagar,2,8100000,1200,House
Belvadi,3,8500000,1500,House
Chamrajpura,5,7500000,1500,House
 Sriramapura,4,12000000,7500,House
Lakshmipuram,2,6000000,1300,Apartment
BEML Nagar,3,13500000,2400,House
Dattagalli,3,11000000,2300,House
 Hebbal,2,6500001,920,House
 Hebbal,2,6500000,920,House
Rajendra Nagar,3,4500000,600,House
 Vijayanagar,2,15500000,1800,House
 Lakshmipuram,2,7500000,1411,House
Hebbal 1st Stage,2,4650000,599,House
 Hebbal 1st Stage,2,4800000,600,House
 Vijayanagar,3,12500000,2150,House
 Hebbal 1st Stage,1,4800000,600,House
Varuna,2,8800000,1700,House
 Kuvempunagar,2,6800000,1128,House
 Sakthi Nagar,4,9500000,1200,House
Bannimantap,3,10000000,1200,House
Manuganahalli,4,5500000,1800,House
 Kuppedada,3,11000000,2400,House
 BEML Nagar,3,12000000,2200,House
Basavanahalli,4,8499600,1200,House
Sharadadevi Nagar,3,9500000,2200,House
Dattagalli,3,110000000,2400,House
 Bannimantap,2,4000000,950,House
 Vijayanagar,1,8500000,1300,House
Ilavala Hobli,1,3000000,700,House
Hebbal 2nd Stage,3,4500000,1000,House
JSS Layout,3,13700000,3000,House
 Saraswathipuram,6,21000000,3850,House
 Chamundipuram,2,5000000,960,House
 KC Layout,10,29000000,7000,House
 KC Layout,10,29000000,7200,House
 Bogadi,2,5500000,600,House
 Jayalakshmipuram,3,12000000,1800,House
 Bogadi,2,5500000,600,House
 Bogadi,2,5500000,600,House
 Udayagiri,3,4900000,600,House
Udayagiri,3,4800000,600,House
 Bogadi,2,11000000,1225,House
 Sathagalli Layout,4,4600000,1200,House
Lakshmipuram,2,6000000,1300,House
 Lakshmipuram,2,6000000,1300,House
Yadavagiri,5,75000000,6000,House
 Ramakrishnanagar,4,10999200,1200,House
Mandi Mohalla,3,6800000,1344,House
 Bogadi,4,9800000,2500,House
 Hunsur,3,6000000,880,House
Somanatha Nagar,3,10500000,1800,House
Elivala,2,2200000,500,House
Marase,3,6500000,819,House
Gejjagalli,3,8800000,2400,House
Jayalakshmipuram,2,10700000,1550,House
 Alanahalli Village,6,7500000,600,House
Basavanahalli,2,8499600,1200,House
 Hebbal,4,13000000,2600,House
 Kuvempunagar,4,16500000,1350,House
 J P Nagar,2,12500000,1200,House
 Siddhartha Layout,2,5200000,1100,House
 J P Nagar,2,8500000,1200,House
Kesare,3,25000000,3300,House
 Vijayanagar,5,40000000,6500,House
Hebbal 1st Stage,3,11000000,1000,House
Somanatha Nagar,3,15000000,2900,House
 Fort Mohalla,3,4000000,440,House
 Somanatha Nagar,2,5000000,1349,House
Basavanahalli,4,11500000,1200,House
Somanatha Nagar,2,6500000,1000,House
Somanatha Nagar,3,16000000,2900,House
Somanatha Nagar,3,16000000,2900,House
Somanatha Nagar,3,16000000,2900,House
Sardar Vallabh Bhai Patel Nagara,2,6200000,1200,House
Gayathripuram,2,18000000,3572,House
Somanatha Nagar,3,7500000,2200,House
 Alanahalli Village,2,5500000,750,House
Gayathripuram,3,11500000,2400,House
 Sriramapura,3,6600000,1354,House
 BEML Nagar,3,10500000,1500,House
 Lakshmipuram,2,5400000,1225,House
BEML Nagar,2,5420000,1098,House
 Vijayanagar,1,6800000,700,House
 Avverahalli,4,9500000,3000,House
 Deepanagar,3,6500000,1400,House
 Vidayaranya Puram,3,8500000,2000,House
 Bogadi,8,25000000,5700,House
 Jettihundi,3,5600000,1600,House
 Vivekananda Nagar,2,11000000,1200,House
 Alanahalli Village,1,4000000,600,House
 Vijayanagar,2,5200000,600,House
Ilavala Hobli,4,9600000,3000,House
Dattagalli,3,6700000,1100,House
 Chamundi Hill,2,4500000,1200,House
 Gokulam,10,27000000,5000,House
Metagalli,4,8150000,1200,House
 Ilavala Hobli,2,6300000,1166,House
 Vivekananda Nagar,3,12000000,2000,House
Kesare,2,9000000,1500,House
Ramakrishnanagar,4,18500000,2600,House
Vontikoppal,3,15000000,2100,House
 Hebbal,2,3100000,750,House
Dattagalli,3,15000000,2600,House
Dattagalli,3,6700000,1100,House
 Gokulam,3,20000000,2000,House
 Vontikoppal,3,15000000,2100,House
 Alanahalli Village,3,8000000,1400,House
Rajiv Nagar,4,15000000,2400,House
Ramakrishnanagar,3,15500000,2000,House
 Vijayanagar,3,12000000,2000,House
 Sriramapura,2,6500000,1200,House
 Sriramapura,4,16300000,8167,House
Hinkal,2,4600000,600,House
Metagalli,5,10000000,3200,House
