location,beds,price,area
6 Bedroom Independent House in SBM COLONY UDAYAGIRI MYSORE,"6 BHK
5 Baths","₹ 80 Lac
₹ 6,666/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
2 BHK Independent Builder Floor in Kalyanagiri,"2 BHK
2 Baths","₹ 55 Lac
₹ 4,583/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area"
2 Bedroom Independent House in Kalyanagiri,"2 BHK
2 Baths","₹ 55 Lac
₹ 9,166/sq.ft.","600 sq.ft.
(56 sq.m.) Plot Area"
2 BHK Residential Apartment in Yadavagiri,"2 BHK
2 Baths","₹ 78 Lac
₹ 6,695/sq.ft.","1,165 sq.ft.
(108 sq.m.) Built-up Area"
3 BHK Independent Builder Floor in 3rd stage Vijaynagar,"3 BHK
3 Baths","₹ 75 Lac
₹ 5,555/sq.ft.","1,350 sq.ft.
(125 sq.m.) Built-up Area"
7 BHK Residential Apartment in KC Layout,"7 BHK
12 Baths","₹ 3.3 Cr
₹ 4,400/sq.ft.","7,500 sq.ft.
(697 sq.m.) Super built-up Area"
4 BHK Residential Apartment in Srirampura,"4 BHK
4 Baths","₹ 60.6 Lac
₹ 2,778/sq.ft.","2,181 sq.ft.
(203 sq.m.) Carpet Area"
4 Bedroom Independent House in kushalangar,"4 BHK
3 Baths","₹ 62 Lac
₹ 2,952/sq.ft.","2,100 sq.ft.
(195 sq.m.) Plot Area"
3 BHK Independent Builder Floor in Belavadi,"3 BHK
2 Baths","₹ 54 Lac
₹ 19,285/sq.ft.","280 sq.ft.
(26 sq.m.) Carpet Area"
4 Bedroom Independent House in Hootagalli,"4 BHK
4 Baths","₹ 1.5 Cr
₹ 3,571/sq.ft.","4,250 sq.ft.
(395 sq.m.) Plot Area"
6 Bedroom Independent House in Vidyashankara Layout,"6 BHK
5 Baths","₹ 4.5 Cr
₹ 76,923/sq.ft.","585 sq.ft.
(54 sq.m.) Plot Area"
7 Bedroom Independent House in Lashkar Mohalla,"7 BHK
4 Baths","₹ 1 Cr
₹ 9,523/sq.ft.","1,050 sq.ft.
(98 sq.m.) Plot Area"
,,,
2 Bedroom Independent House in Kesare,"2 BHK
1 Bath","₹ 95 Lac
₹ 4,750/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area"
