Location,Beds,Price,Area,PricePerSqft
Vishweshwara Nagar,3,68.0,1800.0,0.03777777777777778
Vishweshwara Nagar,2,33.0,1200.0,0.0275
Vivekananda Nagar,4,51.0,900.0,0.056666666666666664
Vontikoppal,3,56.0,730.0,0.07671232876712329
Vontikoppal,7,130.0,1463.0,0.08885850991114148
Vontikoppal,2,60.0,2400.0,0.025
Vontikoppal,2,130.0,3000.0,0.043333333333333335
Yadavagiri,2,330.0,1350.0,0.24444444444444444
Yadavagiri,2,90.0,1112.0,0.08093525179856115
Yadavagiri,3,500.0,2400.0,0.20833333333333334
Yadavagiri,2,100.0,650.0,0.15384615384615385
Yadavagiri,3,95.0,581.0,0.16351118760757316
Yadavagiri,3,70.0,600.0,0.11666666666666667
Yadavagiri,7,325.0,1850.0,0.17567567567567569
Yaraganahalli,3,92.5,1629.0,0.05678330263965623
Yaraganahalli,2,70.0,1251.0,0.055955235811350916
Yelwala,4,140.0,1500.0,0.09333333333333334
Yelwala,3,200.0,1637.0,0.12217470983506414
Yelwala,2,130.0,750.0,0.17333333333333334
