location,beds1,beds2,price,area
"Zuari Garden City, Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Apartment,1225 sq.ft built up area ,[5000000],"{'value': 1225, 'unit': 'sq.ft'}"
"VRR Spoorthi, Ilavala Hobli, Mysore",2 BHK Apartment,1125 sq.ft built up area ,[5200000],"{'value': 1125, 'unit': 'sq.ft'}"
"Gokulam, Mysore",Oxygen Build Hasiru,"2, 3 BHK Apartments",[],"{'value': 1220, 'unit': 'sq.ft'}"
"Hanchya, Mysore",2 BHK Independent House,870 sq.ft built up area ,[4000000],"{'value': 870, 'unit': 'sq.ft'}"
"VRR Spoorthi, Ilavala Hobli, Mysore",2 BHK Apartment,1125 sq.ft built up area ,[5200000],"{'value': 1125, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",4 BHK Independent House,1100 sq.ft built up area ,[16500000],"{'value': 1100, 'unit': 'sq.ft'}"
"Hinkal, Mysore",MEHEK INFRA Sparsh,"3, 4.5 BHK Villas",[],"{'value': 1950, 'unit': 'sq.ft'}"
"Vidayaranya Puram, H D Kote Road, Mysore",Sankalp Magnum,"2, 3 BHK Apartments","[3200000, 5100000]","{'value': 800, 'unit': 'sq.ft'}"
"Rajendra Nagar, Mysore",5 BHK Independent House,150 sq.ft built up area ,[18000000],"{'value': 150, 'unit': 'sq.ft'}"
"Bank Employees' Colony, Bogadi, Mysore",4 BHK Independent House,1200 sq.ft built up area ,[16500000],"{'value': 1200, 'unit': 'sq.ft'}"
"VIAANA, Vijayanagar, Mysore",2 BHK Apartment,1450 sq.ft built up area ,[7200000],"{'value': 1450, 'unit': 'sq.ft'}"
"Trendz Whispering Woods, Deepanagar, Mysore",3 BHK Apartment,1221 sq.ft built up area ,[4400000],"{'value': 1221, 'unit': 'sq.ft'}"
"Yadavagiri, Mysore",2 BHK Apartment,1015 sq.ft built up area ,[4000000],"{'value': 1015, 'unit': 'sq.ft'}"
"mother land kalki, Dattagalli Third Stage, Mysore",3 BHK Villa,1600 sq.ft built up area ,[9000000],"{'value': 1600, 'unit': 'sq.ft'}"
"RAJALAKSHMI , Vani Vilas Mohalla, Mysore",2 BHK Apartment,1165 sq.ft built up area ,[7500000],"{'value': 1165, 'unit': 'sq.ft'}"
"RAJALAKSHMI, Vani Vilas Mohalla, Mysore",2 BHK Apartment,1165 sq.ft built up area ,[7500000],"{'value': 1165, 'unit': 'sq.ft'}"
"2nd Stage, Sriramapura, Mysore",2 BHK Independent House,600 sq.ft built up area ,[6000000],"{'value': 600, 'unit': 'sq.ft'}"
"Hinkal, Mysore",Smart Spaces 2,"1, 2 BHK Apartments",[],"{'value': 415, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",G9 Nairuthya,"2, 3 BHK Villas",[],"{'value': 1399, 'unit': 'sq.ft'}"
